Date,Open,High,Low,Close,Volume,Adj Close,,,,
2/5/00,15751.03,15912.27,13596.63,14713.86,0,14713.86,,,,
3/4/00,17444.48,17458.06,14624.33,15519.3,0,15519.3,,,,
1/3/00,17267.27,18397.57,16315.04,17406.54,0,17406.54,,,,
1/2/00,15600.26,17939.27,15580.46,17169.44,0,17169.44,,,,
3/1/00,17057.7,17426.16,14763.97,15532.34,0,15532.34,,,,
1/12/99,15277.31,17138.11,15146.03,16962.1,0,16962.1,,,,
1/11/99,13309.4,15640.54,13230.72,15377.19,0,15377.19,,,,
4/10/99,12731.32,13283.6,12066.65,13256.95,0,13256.95,,,,
1/9/99,13561.08,14075.06,12652.87,12733.24,0,12733.24,,,,
2/8/99,13202.39,13834.89,12422.78,13482.77,0,13482.77,,,,
2/7/99,13859.6,14531.63,12722.55,13186.86,0,13186.86,,,,
1/6/99,12139.97,14124.42,12106.78,13532.14,0,13532.14,,,,
3/5/99,13297.77,13719.08,11964.64,12147.12,0,12147.12,,,,
1/4/99,11017.45,13628.26,10850.11,13333.2,0,13333.2,,,,
1/3/99,9951.11,11161,9804,10942.2,0,10942.2,,,,
1/2/99,9485.49,9891.62,9000.24,9858.49,0,9858.49,,,,
4/1/99,9982.26,10898.25,9316.05,9506.9,0,9506.9,,,,
1/12/98,10258.14,10469.56,9714.01,10048.58,0,10048.58,,,,
2/11/98,10217.59,10979.31,9637.56,10402.32,0,10402.32,,,,
5/10/98,7651.75,10254.35,7540.79,10154.94,0,10154.94,,,,
1/9/98,7038.45,8331.69,6982.43,7883.46,0,7883.46,,,,
3/8/98,7767.42,7926.35,6544.79,7275.04,0,7275.04,,,,
2/7/98,8844.1,8970.74,7750.76,7936.2,0,7936.2,,,,
1/6/98,9049.48,9089.41,7351.68,8543.1,0,8543.1,,,,
1/5/98,10538.7,10619.2,8836.38,8934.56,0,8934.56,,,,
1/4/98,11491.2,11506,10267.23,10383.68,0,10383.68,,,,
2/3/98,11486.7,11926.2,10697.9,11518.7,0,11518.7,,,,
2/2/98,9800,11480.7,9800,11480.7,0,11480.7,,,,
2/1/98,10743.7,10822.7,7909.1,9252.4,0,9252.4,,,,
1/12/97,10510.8,11842.7,10058.5,10722.8,0,10722.8,,,,
3/11/97,10901.9,11661,9436.6,10526.9,0,10526.9,,,,
3/10/97,15133.3,15242.7,8775.9,10623.8,0,10623.8,,,,
1/9/97,14112,15049.3,12899.8,15049.3,0,15049.3,,,,
1/8/97,16424.2,16820.3,14088,14135.2,0,14135.2,,,,
3/7/97,15346,16365.7,14549.9,16365.7,0,16365.7,,,,
2/6/97,14737.1,15322.3,13796,15196.8,0,15196.8,,,,
1/5/97,12892.2,14757.8,12845.4,14757.8,0,14757.8,,,,
1/4/97,12230.1,12924.3,11951.9,12903.3,0,12903.3,,,,
3/3/97,13426.3,13568.9,12331.6,12534.3,0,12534.3,,,,
3/2/97,13340.7,13860.9,12934,13398.7,0,13398.7,,,,
2/1/97,13362.5,14004.9,13086.2,13321.8,0,13321.8,,,,
2/12/96,13446.7,13525.4,12736.4,13451.5,0,13451.5,,,,
1/11/96,12503.1,13744.3,12472.8,13393.9,0,13393.9,,,,
1/10/96,11916.7,12602.3,11857.4,12477.6,0,12477.6,,,,
2/9/96,11123.7,11906,10930.4,11902.4,0,11902.4,,,,
1/8/96,10706,11494.3,10706,11159,0,11159,,,,
1/7/96,11036.5,11211.1,10533.7,10681.4,0,10681.4,,,,
3/6/96,11253,11253,10799.2,11020.9,0,11020.9,,,,
1/5/96,10954.6,11264.7,10537.7,11264.7,0,11264.7,,,,
1/4/96,10945,11213.5,10712.7,10964.5,0,10964.5,,,,
1/3/96,11098.8,11459.8,10230.5,10957.2,0,10957.2,,,,
1/2/96,11352.4,11600.2,11039.1,11125.7,0,11125.7,,,,
2/1/96,10070.8,11411.1,10070.8,11359.7,0,11359.7,,,,
1/12/95,9832.2,10073.4,9647.7,10073.4,0,10073.4,,,,
2/11/95,9789.6,9882.4,9259.3,9813.3,0,9813.3,,,,
2/10/95,9645.3,10069.2,9627.5,9782.4,0,9782.4,,,,
1/9/95,9185.8,9834.4,9136.3,9646.3,0,9646.3,,,,
1/8/95,9436.1,9461.8,8775,9179.9,0,9179.9,,,,
3/7/95,9208.3,9820.8,9110.7,9453.4,0,9453.4,,,,
1/6/95,9547,9676.1,9065.8,9206.5,0,9206.5,,,,
1/5/95,8348.1,9448.1,8095.4,9407.4,0,9407.4,,,,
3/4/95,8514.1,8697.4,8189,8361,0,8361,,,,
